Параметр,Формат,Описание
.. _XDocBody: ,**Объект XDocBody** ,
type,XDocBodyType_ ,"объект; тип тела документа:
CONTENT = 1 - содержание в байтах;
JSON = 2 - содержание в json формате;
SIGN = 3 - содержание подписи;
STAMP = 4;
CRYPTED = 5 - содержание в зашифрованном виде;
UZDRESPONSE = 6"
base64content,String,содержание тела документа в BASE64
