Параметр,Тип,Формат,Описание
.. _Direction: ,, Объект **Direction** ,
**type**, ,"enum (EQ, OR, IN)","тип выборки; возможные значения: ""EQ"" / ""OR"" / ""IN"" * EQ - отбираются только документы в которых совпадают указанные И sender, И receiver; * OR - отбираются документы в которых совпадают ИЛИ sender, ИЛИ receiver; * IN - отбираются документы в которых sender или receiver один из тех, которые указаны в массивах sender и receiver"
sender,M/O,List<String>,"массив; отправители; GLN отправителей, может быть пустым (если указан массив GLN получателей) "
receiver,M/O,List<String>,"массив; получатели; GLN получателей - обязательный, но может быть пустым если указан массив GLN отправителей (sender)"
