"ЛОТОК ( ЛК-ТРАНС)","✔","✔","✔",,,,,,,,,,,,,,
"Сільпо","✔","✔",,,,,,,,,,,,,,"-",
"Сильпо РЦ","✔","✔",,,,"✔",,"✔",,"✔",,,,,,"-",
"Фора","✔","✔",,,,,,,,,,,,,,"-",
"Два шага","✔","✔","✔",,,,,,,,,,,,,,
"Суматра","✔",,"✔",,,,,,,,,,,,,,
"Траш","✔","✔",,,,,,,,,,,,,,"-",
"ГВЕДЕОН","✔","✔",,,,,,,,,,,,,,,
"ТОВ МАНГО-ГРУП","✔","✔","✔",,,,,,,,,"✔",7,,,"✔",
"ТОВ АРІТЕЙЛ                ","✔","✔","✔",,"✔",,,,,,,,,,,,
"ФЛАГМАН СТОР","✔","✔","✔","✔",,"✔",,,,,,,,,,,
"ТОВ ГОРПРЕСА","✔",,,,"✔",,,,,,,,,,,,
"АКОРД-2017","✔","✔","✔",,,,,,,,,,,,,,"✔"
"Fresh Food Market
(БМХ)","✔",,"✔",,,,,,,,,,,,,,
"ТОВ ЛА ФАРІНА","✔","✔","✔","✔",,,,,,,,,,,,,"✔"
"СУШИЯ","✔","✔","✔","✔",,,,,,,,"✔","007; 012 ;",,,,
"ТД ""Аванта""","✔","✔","✔",,,,,,,,,,,,,,
"ТАМ-ТАМ","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ Крамниця Добра-2","✔",,"✔",,,,,,,,,,,,,,
"ЛОТОС ТРЕЙД","✔","✔","✔",,,,,,,,,,,,,,
"ПІТЛАЙН (АВІАС)","✔",,,,,,,,,,,,,,,,
"ТОВ Смак-Плюс","✔","✔",,,,,,,,,,,,,,,
"ТОВ ІНТЕГРАЛ ГРУПП(Плюс маркет)","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ ТС ПЛЮС","✔",,"✔",,,,,,,,,,,,,,
"ФОП ГАСПАРЯН КАМО УСИКОВИЧ
(ТС Абрикос)","✔","✔","✔",,,,,,,,,,,,,,
"Компания СІТІ ФУД ТРЕЙД","✔",,"✔",,,,,,,,,"✔","007; 012",,,,
"Компания САН ОЙЛ","✔","✔","✔",,,,,,,,,,,,,,
"33м2 (СТРОЙ ОПТ)","✔","✔",,,,,,,,,,,,,,,
"ТзОВ ""Рітейл Україна"" ""Свій Маркет""","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ АЛЬФА-ЗАБАВА(Будинок Іграшок)","✔","✔","✔",,,,,,,,,,,,,,
"--- HORNBACH","✔",,"✔",,"✔",,,,,,,,,,,,
"ТОВ СІГМАСТЕЛС, (""РОСТ"")","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ ХАВІ МАРКЕТ (Баскет)","✔","✔","✔","✔",,,,,,,,,,,,,
"Сеть\\ Тип док.","**O
R
D
E
R
S**","**O
R
D
R
S
P**","**D
E
S
A
D
V**","**R
E
C
A
D
V**","**I
N
V
O
I
C
E**","**R
E
T
A
N
N**","**C
O
A
C
S
U**","**I
F
T
M
I
N**","**P
R**
**I
C
A
T**","**R
E 
T 
I 
N
N**","**I
N
S
D
E
S**","**C
O
M
D
O
C**","**C
O
M
D
O
C
T
Y
P
E** ","**D
E
C
L
A
R**","**D
E
C
L
A
R
j
12**","**P
R
I
C
A
T**","**С
е
р
т
и
ф
и
к
а
т
ы**"
